scope,class,spec,race,faction,spell_name,spell_id,base_cooldown,effect_duration,category,verification_status,source_url,notes
racial,,,Night Elf,Alliance,Shadowmeld,58984,2 min,,utility,verified_web,https://www.wowdb.com/spells/58984-shadowmeld,Active racial.
racial,,,Dwarf,Alliance,Stoneform,20594,2 min,,defensive,verified_web,https://www.wowdb.com/spells/20594-stoneform,"Removes poison, disease, curse, magic, bleed; reduces physical damage taken."
racial,,,Orc,Horde,Blood Fury,33702,2 min,,offensive,verified_web,https://www.wowdb.com/spells/33702-blood-fury,Orc racial; stat line can vary by class/spec.
racial,,,Troll,Horde,Berserking,26297,3 min,,offensive,verified_web,https://www.wowdb.com/spells/26297-berserking,10% haste for 12 sec.
racial,,,Gnome,Alliance,Escape Artist,20589,1 min,,utility,memory_compiled,,
racial,,,Draenei,Alliance,Gift of the Naaru,59542,3 min,,heal,memory_compiled,,ID can differ by class on older pages; verify in game if you need strict per-class IDs.
racial,,,Human,Alliance,Will to Survive,59752,3 min,,defensive,memory_compiled,,
racial,,,Worgen,Alliance,Darkflight,68992,2 min,,mobility,memory_compiled,,
racial,,,Pandaren,Neutral,Quaking Palm,107079,2 min,,utility,memory_compiled,,
racial,,,Dark Iron Dwarf,Alliance,Fireblood,265221,2 min,,offensive_defensive,memory_compiled,,
racial,,,Kul Tiran,Alliance,Haymaker,287712,2.5 min,,utility,memory_compiled,,
racial,,,Lightforged Draenei,Alliance,Light's Judgment,255647,2.5 min,,offensive,memory_compiled,,
racial,,,Mechagnome,Alliance,Hyper Organic Light Originator,312924,3 min,,heal,memory_compiled,,
racial,,,Void Elf,Alliance,Spatial Rift,256948,3 min,,mobility,memory_compiled,,Teleport spell may use paired IDs.
racial,,,Undead,Horde,Will of the Forsaken,7744,2 min,,defensive,memory_compiled,,
racial,,,Tauren,Horde,War Stomp,20549,1.5 min,,utility,memory_compiled,,
racial,,,Blood Elf,Horde,Arcane Torrent,129597,2 min,,utility,memory_compiled,,Retail Blood Elf active racial.
racial,,,Goblin,Horde,Rocket Jump,69070,1.5 min,,mobility,memory_compiled,,
racial,,,Goblin,Horde,Rocket Barrage,69041,1.5 min,,offensive,memory_compiled,,
racial,,,Nightborne,Horde,Arcane Pulse,260364,3 min,,utility,memory_compiled,,
racial,,,Highmountain Tauren,Horde,Bull Rush,255654,2 min,,utility,memory_compiled,,
racial,,,Mag'har Orc,Horde,Ancestral Call,274738,2 min,,offensive,memory_compiled,,
racial,,,Zandalari Troll,Horde,Regeneratin',291944,2 min,,heal,memory_compiled,,
racial,,,Vulpera,Horde,Bag of Tricks,312411,1.5 min,,offensive_heal,memory_compiled,,
racial,,,Dracthyr,Alliance/Horde,Tail Swipe,368970,1.5 min,,utility,memory_compiled,,
racial,,,Dracthyr,Alliance/Horde,Wing Buffet,357214,1.5 min,,utility,memory_compiled,,
racial,,,Haranir,Alliance/Horde,Rootwalking,1238686,none_combat,,travel,verified_web,https://beta.wowdb.com/spells/1238686-rootwalking,Out-of-combat travel racial; no verified combat active racial included yet.
spec,Death Knight,Blood,,,Vampiric Blood,55233,1.5 min,,defensive,verified_web,https://www.wowdb.com/spells/55233-vampiric-blood,
spec,Death Knight,Blood,,,Dancing Rune Weapon,49028,2 min,,offensive_defensive,memory_compiled,,
